UserID,DeviceType,PurchaseDate,OnboardingVersion,CohortMonth
10102,Security Camera,2022-02-13,Control,2022-02
10103,Smart Doorbell,2022-11-26,Control,2022-11
10104,Smart Doorbell,2022-05-25,Control,2022-05
10105,Security Camera,2022-02-20,Variant,2022-02
10106,Smart Doorbell,2022-08-30,Variant,2022-08
10107,Smart Doorbell,2022-10-21,Variant,2022-10
10108,Security Camera,2022-02-20,Variant,2022-02
10109,Security Camera,2022-09-23,Variant,2022-09
10110,Security Camera,2022-04-30,Control,2022-04
10111,Security Camera,2022-07-19,Control,2022-07
10112,Smart Doorbell,2022-09-05,Variant,2022-09
10113,Smart Doorbell,2022-03-11,Variant,2022-03
10114,Smart Doorbell,2022-12-07,Variant,2022-12
10115,Smart Doorbell,2022-02-26,Variant,2022-02
10116,Smart Doorbell,2022-02-08,Control,2022-02
10117,Security Camera,2022-10-16,Variant,2022-10
10118,Smart Doorbell,2022-01-18,Variant,2022-01
10119,Smart Doorbell,2022-08-08,Control,2022-08
10120,Smart Doorbell,2022-11-09,Variant,2022-11
10121,Smart Doorbell,2022-09-01,Variant,2022-09
10122,Security Camera,2022-12-18,Control,2022-12
10123,Security Camera,2022-10-31,Control,2022-10
10124,Security Camera,2022-10-25,Control,2022-10
10125,Smart Doorbell,2022-10-10,Variant,2022-10
10126,Smart Doorbell,2022-03-15,Control,2022-03
10127,Smart Doorbell,2022-04-20,Variant,2022-04
10128,Security Camera,2022-06-29,Variant,2022-06
10129,Smart Doorbell,2022-02-01,Control,2022-02
10130,Smart Doorbell,2022-08-22,Variant,2022-08
10131,Security Camera,2022-10-09,Variant,2022-10
10132,Security Camera,2022-01-25,Control,2022-01
10133,Security Camera,2022-11-27,Control,2022-11
10134,Smart Doorbell,2022-10-06,Variant,2022-10
10135,Security Camera,2022-08-14,Variant,2022-08
10136,Smart Doorbell,2022-02-26,Control,2022-02
10137,Smart Doorbell,2022-06-29,Control,2022-06
10138,Security Camera,2022-08-20,Control,2022-08
10139,Smart Doorbell,2022-12-09,Variant,2022-12
10140,Smart Doorbell,2022-10-14,Control,2022-10
10141,Security Camera,2022-03-05,Variant,2022-03
10142,Smart Doorbell,2022-08-20,Variant,2022-08
10143,Security Camera,2022-10-16,Control,2022-10
10144,Security Camera,2022-08-01,Variant,2022-08
10145,Security Camera,2022-09-15,Control,2022-09
10146,Smart Doorbell,2022-01-18,Variant,2022-01
10147,Smart Doorbell,2022-06-24,Control,2022-06
10148,Security Camera,2022-08-17,Variant,2022-08
10149,Security Camera,2022-08-14,Variant,2022-08
10150,Smart Doorbell,2022-03-25,Control,2022-03
10151,Security Camera,2022-10-18,Control,2022-10
10152,Security Camera,2022-09-03,Control,2022-09
10153,Smart Doorbell,2022-04-20,Control,2022-04
10154,Smart Doorbell,2022-09-11,Variant,2022-09
10155,Security Camera,2022-03-29,Variant,2022-03
10156,Smart Doorbell,2022-03-13,Control,2022-03
10157,Smart Doorbell,2022-01-30,Variant,2022-01
10158,Security Camera,2022-06-21,Variant,2022-06
10159,Smart Doorbell,2022-11-05,Variant,2022-11
10160,Security Camera,2022-12-09,Control,2022-12
10161,Smart Doorbell,2022-06-26,Control,2022-06
10162,Smart Doorbell,2022-05-19,Control,2022-05
10163,Smart Doorbell,2022-07-13,Variant,2022-07
10164,Security Camera,2022-07-05,Control,2022-07
10165,Smart Doorbell,2022-08-06,Control,2022-08
10166,Security Camera,2022-06-13,Control,2022-06
10167,Security Camera,2022-06-10,Variant,2022-06
10168,Security Camera,2022-01-13,Control,2022-01
10169,Smart Doorbell,2022-10-23,Control,2022-10
10170,Smart Doorbell,2022-03-30,Control,2022-03
10171,Security Camera,2022-11-20,Control,2022-11
10172,Smart Doorbell,2022-02-11,Variant,2022-02
10173,Security Camera,2022-07-29,Control,2022-07
10174,Smart Doorbell,2022-08-17,Control,2022-08
10175,Security Camera,2022-12-16,Variant,2022-12
10176,Smart Doorbell,2022-10-02,Control,2022-10
10177,Security Camera,2022-10-06,Control,2022-10
10178,Smart Doorbell,2022-09-08,Variant,2022-09
10179,Security Camera,2022-11-06,Control,2022-11
10180,Security Camera,2022-07-27,Control,2022-07
10181,Security Camera,2022-11-17,Control,2022-11
10182,Smart Doorbell,2022-05-20,Control,2022-05
10183,Smart Doorbell,2022-10-07,Variant,2022-10
10184,Security Camera,2022-02-03,Variant,2022-02
10185,Smart Doorbell,2022-11-05,Variant,2022-11
10186,Smart Doorbell,2022-01-18,Control,2022-01
10187,Smart Doorbell,2022-02-26,Control,2022-02
10188,Smart Doorbell,2022-04-22,Variant,2022-04
10189,Security Camera,2022-01-05,Variant,2022-01
10190,Security Camera,2022-07-01,Control,2022-07
10191,Smart Doorbell,2022-01-13,Control,2022-01
10192,Smart Doorbell,2022-12-05,Control,2022-12
10193,Smart Doorbell,2022-10-12,Control,2022-10
10194,Security Camera,2022-09-16,Control,2022-09
10195,Security Camera,2022-03-31,Control,2022-03
10196,Smart Doorbell,2022-04-14,Variant,2022-04
10197,Smart Doorbell,2022-07-05,Variant,2022-07
10198,Smart Doorbell,2022-09-07,Control,2022-09
10199,Smart Doorbell,2022-09-12,Control,2022-09
10200,Smart Doorbell,2022-03-17,Variant,2022-03
10201,Security Camera,2022-04-18,Control,2022-04
10202,Security Camera,2022-06-05,Variant,2022-06
10203,Smart Doorbell,2022-03-23,Control,2022-03
10204,Smart Doorbell,2022-03-18,Variant,2022-03
10205,Security Camera,2022-09-15,Control,2022-09
10206,Security Camera,2022-05-07,Control,2022-05
10207,Smart Doorbell,2022-10-09,Control,2022-10
10208,Security Camera,2022-03-29,Control,2022-03
10209,Security Camera,2022-07-23,Control,2022-07
10210,Smart Doorbell,2022-01-16,Variant,2022-01
10211,Smart Doorbell,2022-05-31,Control,2022-05
10212,Smart Doorbell,2022-09-11,Control,2022-09
10213,Security Camera,2022-07-07,Variant,2022-07
10214,Smart Doorbell,2022-11-25,Variant,2022-11
10215,Security Camera,2022-02-01,Variant,2022-02
10216,Security Camera,2022-09-28,Variant,2022-09
10217,Smart Doorbell,2022-01-05,Control,2022-01
10218,Smart Doorbell,2022-11-26,Variant,2022-11
10219,Smart Doorbell,2022-11-04,Variant,2022-11
10220,Smart Doorbell,2022-11-29,Variant,2022-11
10221,Smart Doorbell,2022-06-18,Control,2022-06
10222,Security Camera,2022-06-30,Control,2022-06
10223,Security Camera,2022-06-27,Control,2022-06
10224,Security Camera,2022-05-23,Variant,2022-05
10225,Security Camera,2022-12-28,Variant,2022-12
10226,Smart Doorbell,2022-09-05,Variant,2022-09
10227,Security Camera,2022-05-07,Control,2022-05
10228,Smart Doorbell,2022-09-20,Variant,2022-09
10229,Smart Doorbell,2022-02-09,Variant,2022-02
10230,Smart Doorbell,2022-12-21,Control,2022-12
10231,Smart Doorbell,2022-09-12,Variant,2022-09
10232,Smart Doorbell,2022-05-23,Control,2022-05
10233,Smart Doorbell,2022-08-28,Variant,2022-08
10234,Security Camera,2022-08-16,Variant,2022-08
10235,Smart Doorbell,2022-12-07,Variant,2022-12
10236,Security Camera,2022-07-17,Variant,2022-07
10237,Security Camera,2022-03-06,Variant,2022-03
10238,Smart Doorbell,2022-01-11,Control,2022-01
10239,Security Camera,2022-04-18,Control,2022-04
10240,Smart Doorbell,2022-01-26,Variant,2022-01
10241,Smart Doorbell,2022-05-31,Control,2022-05
10242,Smart Doorbell,2022-08-09,Control,2022-08
10243,Security Camera,2022-12-07,Variant,2022-12
10244,Security Camera,2022-08-25,Variant,2022-08
10245,Smart Doorbell,2022-08-25,Control,2022-08
10246,Smart Doorbell,2022-08-07,Control,2022-08
10247,Smart Doorbell,2022-05-31,Control,2022-05
10248,Smart Doorbell,2022-05-03,Control,2022-05
10249,Smart Doorbell,2022-05-24,Control,2022-05
10250,Security Camera,2022-07-08,Variant,2022-07
10251,Security Camera,2022-09-12,Control,2022-09
10252,Smart Doorbell,2022-03-09,Control,2022-03
10253,Security Camera,2022-04-14,Control,2022-04
10254,Security Camera,2022-12-02,Variant,2022-12
10255,Smart Doorbell,2022-06-08,Control,2022-06
10256,Smart Doorbell,2022-11-05,Control,2022-11
10257,Smart Doorbell,2022-12-28,Control,2022-12
10258,Smart Doorbell,2022-10-27,Variant,2022-10
10259,Security Camera,2022-03-31,Variant,2022-03
10260,Smart Doorbell,2022-12-23,Control,2022-12
10261,Smart Doorbell,2022-09-13,Control,2022-09
10262,Security Camera,2022-12-19,Control,2022-12
10263,Smart Doorbell,2022-08-08,Variant,2022-08
10264,Smart Doorbell,2022-01-09,Variant,2022-01
10265,Smart Doorbell,2022-01-12,Control,2022-01
10266,Smart Doorbell,2022-11-21,Control,2022-11
10267,Smart Doorbell,2022-09-01,Control,2022-09
10268,Security Camera,2022-07-01,Control,2022-07
10269,Security Camera,2022-10-11,Variant,2022-10
10270,Smart Doorbell,2022-11-08,Control,2022-11
10271,Smart Doorbell,2022-04-09,Control,2022-04
10272,Smart Doorbell,2022-07-16,Control,2022-07
10273,Smart Doorbell,2022-08-14,Variant,2022-08
10274,Smart Doorbell,2022-11-29,Variant,2022-11
10275,Smart Doorbell,2022-04-13,Control,2022-04
10276,Smart Doorbell,2022-04-16,Control,2022-04
10277,Smart Doorbell,2022-02-27,Control,2022-02
10278,Smart Doorbell,2022-03-19,Control,2022-03
10279,Smart Doorbell,2022-03-16,Control,2022-03
10280,Smart Doorbell,2022-02-11,Variant,2022-02
10281,Security Camera,2022-11-20,Variant,2022-11
10282,Security Camera,2022-06-30,Variant,2022-06
10283,Security Camera,2022-02-02,Control,2022-02
10284,Smart Doorbell,2022-03-12,Variant,2022-03
10285,Security Camera,2022-02-25,Variant,2022-02
10286,Smart Doorbell,2022-04-15,Control,2022-04
10287,Smart Doorbell,2022-07-19,Control,2022-07
10288,Security Camera,2022-04-11,Control,2022-04
10289,Smart Doorbell,2022-09-13,Control,2022-09
10290,Security Camera,2022-11-03,Control,2022-11
10291,Security Camera,2022-03-15,Variant,2022-03
10292,Smart Doorbell,2022-06-20,Control,2022-06
10293,Security Camera,2022-05-23,Variant,2022-05
10294,Security Camera,2022-06-15,Control,2022-06
10295,Smart Doorbell,2022-09-18,Variant,2022-09
10296,Smart Doorbell,2022-08-09,Control,2022-08
10297,Security Camera,2022-03-24,Variant,2022-03
10298,Smart Doorbell,2022-07-01,Control,2022-07
10299,Security Camera,2022-11-03,Control,2022-11
10300,Security Camera,2022-01-10,Variant,2022-01
10301,Smart Doorbell,2022-01-04,Control,2022-01
10302,Smart Doorbell,2022-12-17,Variant,2022-12
10303,Smart Doorbell,2022-12-02,Variant,2022-12
10304,Smart Doorbell,2022-10-19,Control,2022-10
10305,Smart Doorbell,2022-10-08,Control,2022-10
10306,Smart Doorbell,2022-08-03,Variant,2022-08
10307,Security Camera,2022-04-08,Control,2022-04
10308,Smart Doorbell,2022-04-11,Variant,2022-04
10309,Security Camera,2022-01-09,Variant,2022-01
10310,Smart Doorbell,2022-03-02,Control,2022-03
10311,Security Camera,2022-11-05,Control,2022-11
10312,Security Camera,2022-05-26,Variant,2022-05
10313,Smart Doorbell,2022-03-04,Control,2022-03
10314,Smart Doorbell,2022-05-01,Control,2022-05
10315,Smart Doorbell,2022-08-14,Control,2022-08
10316,Smart Doorbell,2022-04-15,Variant,2022-04
10317,Security Camera,2022-09-17,Control,2022-09
10318,Security Camera,2022-12-15,Control,2022-12
10319,Security Camera,2022-09-12,Variant,2022-09
10320,Smart Doorbell,2022-07-26,Control,2022-07
10321,Smart Doorbell,2022-01-28,Control,2022-01
10322,Smart Doorbell,2022-06-19,Variant,2022-06
10323,Security Camera,2022-12-02,Variant,2022-12
10324,Smart Doorbell,2022-03-17,Variant,2022-03
10325,Smart Doorbell,2022-04-26,Control,2022-04
10326,Smart Doorbell,2022-03-10,Variant,2022-03
10327,Smart Doorbell,2022-12-20,Control,2022-12
10328,Smart Doorbell,2022-08-22,Control,2022-08
10329,Security Camera,2022-01-01,Control,2022-01
10330,Security Camera,2022-06-16,Control,2022-06
10331,Smart Doorbell,2022-12-18,Variant,2022-12
10332,Security Camera,2022-08-06,Control,2022-08
10333,Security Camera,2022-09-30,Variant,2022-09
10334,Security Camera,2022-09-08,Variant,2022-09
10335,Security Camera,2022-12-13,Variant,2022-12
10336,Smart Doorbell,2022-12-10,Control,2022-12
10337,Smart Doorbell,2022-06-23,Variant,2022-06
10338,Smart Doorbell,2022-06-19,Control,2022-06
10339,Security Camera,2022-09-03,Control,2022-09
10340,Smart Doorbell,2022-03-31,Variant,2022-03
10341,Smart Doorbell,2022-02-18,Control,2022-02
10342,Security Camera,2022-10-21,Control,2022-10
10343,Smart Doorbell,2022-05-30,Variant,2022-05
10344,Security Camera,2022-05-12,Control,2022-05
10345,Smart Doorbell,2022-02-28,Variant,2022-02
10346,Smart Doorbell,2022-11-20,Control,2022-11
10347,Security Camera,2022-07-18,Control,2022-07
10348,Security Camera,2022-08-03,Control,2022-08
10349,Smart Doorbell,2022-02-18,Control,2022-02
10350,Smart Doorbell,2022-08-20,Control,2022-08
10351,Smart Doorbell,2022-09-04,Variant,2022-09
10352,Smart Doorbell,2022-08-27,Variant,2022-08
10353,Security Camera,2022-06-17,Variant,2022-06
10354,Security Camera,2022-02-17,Control,2022-02
10355,Smart Doorbell,2022-02-20,Variant,2022-02
10356,Security Camera,2022-10-26,Variant,2022-10
10357,Smart Doorbell,2022-04-08,Variant,2022-04
10358,Smart Doorbell,2022-08-04,Control,2022-08
10359,Smart Doorbell,2022-06-26,Variant,2022-06
10360,Security Camera,2022-03-21,Variant,2022-03
10361,Smart Doorbell,2022-07-04,Control,2022-07
10362,Smart Doorbell,2022-01-27,Variant,2022-01
10363,Smart Doorbell,2022-07-14,Control,2022-07
10364,Smart Doorbell,2022-08-02,Variant,2022-08
10365,Security Camera,2022-12-08,Variant,2022-12
10366,Smart Doorbell,2022-04-24,Variant,2022-04
10367,Smart Doorbell,2022-08-30,Control,2022-08
10368,Security Camera,2022-05-04,Control,2022-05
10369,Security Camera,2022-11-01,Variant,2022-11
10370,Security Camera,2022-03-17,Control,2022-03
10371,Security Camera,2022-11-07,Control,2022-11
10372,Security Camera,2022-11-08,Variant,2022-11
10373,Smart Doorbell,2022-07-15,Control,2022-07
10374,Security Camera,2022-12-17,Control,2022-12
10375,Security Camera,2022-02-13,Control,2022-02
10376,Smart Doorbell,2022-07-05,Control,2022-07
10377,Security Camera,2022-12-09,Variant,2022-12
10378,Smart Doorbell,2022-09-03,Variant,2022-09
10379,Security Camera,2022-03-25,Variant,2022-03
10380,Security Camera,2022-07-26,Variant,2022-07
10381,Smart Doorbell,2022-05-31,Variant,2022-05
10382,Smart Doorbell,2022-06-05,Variant,2022-06
10383,Smart Doorbell,2022-01-16,Control,2022-01
10384,Smart Doorbell,2022-06-14,Variant,2022-06
10385,Smart Doorbell,2022-05-25,Control,2022-05
10386,Security Camera,2022-02-06,Variant,2022-02
10387,Security Camera,2022-11-29,Variant,2022-11
10388,Smart Doorbell,2022-02-14,Control,2022-02
10389,Smart Doorbell,2022-07-25,Variant,2022-07
10390,Smart Doorbell,2022-03-03,Control,2022-03
10391,Smart Doorbell,2022-12-22,Variant,2022-12
10392,Security Camera,2022-11-04,Control,2022-11
10393,Smart Doorbell,2022-01-19,Variant,2022-01
10394,Security Camera,2022-10-27,Control,2022-10
10395,Smart Doorbell,2022-01-07,Control,2022-01
10396,Smart Doorbell,2022-09-06,Control,2022-09
10397,Smart Doorbell,2022-04-27,Control,2022-04
10398,Smart Doorbell,2022-03-09,Control,2022-03
10399,Smart Doorbell,2022-02-03,Variant,2022-02
10400,Security Camera,2022-07-13,Control,2022-07
10401,Smart Doorbell,2022-11-21,Control,2022-11
10402,Smart Doorbell,2022-02-24,Control,2022-02
10403,Smart Doorbell,2022-09-23,Variant,2022-09
10404,Security Camera,2022-02-11,Variant,2022-02
10405,Smart Doorbell,2022-10-24,Variant,2022-10
10406,Security Camera,2022-08-19,Variant,2022-08
10407,Security Camera,2022-01-10,Control,2022-01
10408,Smart Doorbell,2022-12-24,Control,2022-12
10409,Security Camera,2022-05-08,Control,2022-05
10410,Security Camera,2022-06-28,Variant,2022-06
10411,Smart Doorbell,2022-07-12,Variant,2022-07
10412,Smart Doorbell,2022-04-02,Control,2022-04
10413,Smart Doorbell,2022-08-19,Control,2022-08
10414,Smart Doorbell,2022-03-19,Control,2022-03
10415,Smart Doorbell,2022-03-26,Control,2022-03
10416,Security Camera,2022-01-30,Variant,2022-01
10417,Security Camera,2022-08-01,Control,2022-08
10418,Smart Doorbell,2022-02-18,Variant,2022-02
10419,Smart Doorbell,2022-09-22,Control,2022-09
10420,Smart Doorbell,2022-05-25,Variant,2022-05
10421,Smart Doorbell,2022-03-10,Variant,2022-03
10422,Security Camera,2022-02-27,Variant,2022-02
10423,Smart Doorbell,2022-07-04,Variant,2022-07
10424,Security Camera,2022-03-03,Variant,2022-03
10425,Smart Doorbell,2022-11-04,Variant,2022-11
10426,Smart Doorbell,2022-10-23,Variant,2022-10
10427,Smart Doorbell,2022-06-15,Variant,2022-06
10428,Security Camera,2022-06-20,Variant,2022-06
10429,Security Camera,2022-03-04,Variant,2022-03
10430,Security Camera,2022-05-27,Variant,2022-05
10431,Smart Doorbell,2022-11-02,Variant,2022-11
10432,Smart Doorbell,2022-06-10,Control,2022-06
10433,Security Camera,2022-05-21,Control,2022-05
10434,Security Camera,2022-11-30,Control,2022-11
10435,Smart Doorbell,2022-04-07,Variant,2022-04
10436,Security Camera,2022-08-09,Variant,2022-08
10437,Smart Doorbell,2022-02-12,Control,2022-02
10438,Smart Doorbell,2022-10-19,Variant,2022-10
10439,Security Camera,2022-04-18,Variant,2022-04
10440,Security Camera,2022-09-23,Control,2022-09
10441,Smart Doorbell,2022-04-05,Variant,2022-04
10442,Security Camera,2022-09-19,Variant,2022-09
10443,Security Camera,2022-11-09,Control,2022-11
10444,Smart Doorbell,2022-03-12,Variant,2022-03
10445,Smart Doorbell,2022-08-07,Variant,2022-08
10446,Smart Doorbell,2022-01-21,Control,2022-01
10447,Smart Doorbell,2022-04-02,Control,2022-04
10448,Security Camera,2022-05-07,Variant,2022-05
10449,Security Camera,2022-03-21,Control,2022-03
10450,Smart Doorbell,2022-11-08,Control,2022-11
10451,Smart Doorbell,2022-08-26,Control,2022-08
10452,Smart Doorbell,2022-07-01,Variant,2022-07
10453,Smart Doorbell,2022-01-25,Variant,2022-01
10454,Security Camera,2022-06-05,Variant,2022-06
10455,Smart Doorbell,2022-01-05,Control,2022-01
10456,Security Camera,2022-04-30,Variant,2022-04
10457,Smart Doorbell,2022-10-04,Control,2022-10
10458,Security Camera,2022-01-18,Control,2022-01
10459,Security Camera,2022-07-17,Control,2022-07
10460,Security Camera,2022-02-26,Control,2022-02
10461,Smart Doorbell,2022-04-03,Variant,2022-04
10462,Smart Doorbell,2022-01-19,Variant,2022-01
10463,Smart Doorbell,2022-12-19,Control,2022-12
10464,Smart Doorbell,2022-07-12,Variant,2022-07
10465,Security Camera,2022-08-25,Variant,2022-08
10466,Security Camera,2022-10-04,Variant,2022-10
10467,Smart Doorbell,2022-08-15,Control,2022-08
10468,Security Camera,2022-08-21,Variant,2022-08
10469,Smart Doorbell,2022-02-09,Control,2022-02
10470,Security Camera,2022-11-19,Variant,2022-11
10471,Smart Doorbell,2022-06-02,Control,2022-06
10472,Security Camera,2022-05-07,Variant,2022-05
10473,Smart Doorbell,2022-08-25,Control,2022-08
10474,Smart Doorbell,2022-02-24,Control,2022-02
10475,Smart Doorbell,2022-06-21,Variant,2022-06
10476,Security Camera,2022-04-19,Variant,2022-04
10477,Smart Doorbell,2022-12-20,Variant,2022-12
10478,Smart Doorbell,2022-07-03,Variant,2022-07
10479,Smart Doorbell,2022-07-17,Control,2022-07
10480,Smart Doorbell,2022-03-28,Variant,2022-03
10481,Smart Doorbell,2022-07-20,Control,2022-07
10482,Smart Doorbell,2022-12-03,Control,2022-12
10483,Smart Doorbell,2022-11-18,Variant,2022-11
10484,Smart Doorbell,2022-10-02,Variant,2022-10
10485,Smart Doorbell,2022-07-30,Variant,2022-07
10486,Security Camera,2022-04-28,Variant,2022-04
10487,Security Camera,2022-07-10,Variant,2022-07
10488,Smart Doorbell,2022-02-11,Control,2022-02
10489,Smart Doorbell,2022-02-11,Control,2022-02
10490,Smart Doorbell,2022-11-11,Variant,2022-11
10491,Smart Doorbell,2022-10-03,Control,2022-10
10492,Security Camera,2022-11-25,Control,2022-11
10493,Security Camera,2022-01-17,Control,2022-01
10494,Smart Doorbell,2022-10-10,Variant,2022-10
10495,Security Camera,2022-09-15,Control,2022-09
10496,Smart Doorbell,2022-03-04,Variant,2022-03
10497,Security Camera,2022-03-03,Variant,2022-03
10498,Smart Doorbell,2022-04-10,Control,2022-04
10499,Smart Doorbell,2022-01-19,Variant,2022-01
10500,Smart Doorbell,2022-01-17,Variant,2022-01
10501,Smart Doorbell,2022-11-21,Variant,2022-11
10502,Security Camera,2022-09-03,Variant,2022-09
10503,Smart Doorbell,2022-09-08,Control,2022-09
10504,Smart Doorbell,2022-03-22,Variant,2022-03
10505,Security Camera,2022-02-08,Control,2022-02
10506,Smart Doorbell,2022-02-05,Variant,2022-02
10507,Smart Doorbell,2022-07-16,Variant,2022-07
10508,Smart Doorbell,2022-06-07,Variant,2022-06
10509,Smart Doorbell,2022-07-23,Control,2022-07
10510,Smart Doorbell,2022-07-15,Control,2022-07
10511,Smart Doorbell,2022-08-04,Control,2022-08
10512,Smart Doorbell,2022-10-12,Control,2022-10
10513,Smart Doorbell,2022-07-15,Control,2022-07
10514,Security Camera,2022-11-03,Variant,2022-11
10515,Security Camera,2022-06-01,Control,2022-06
10516,Security Camera,2022-01-14,Variant,2022-01
10517,Smart Doorbell,2022-11-21,Control,2022-11
10518,Smart Doorbell,2022-05-26,Variant,2022-05
10519,Security Camera,2022-02-26,Variant,2022-02
10520,Smart Doorbell,2022-07-30,Variant,2022-07
10521,Security Camera,2022-09-25,Variant,2022-09
10522,Smart Doorbell,2022-07-29,Control,2022-07
10523,Smart Doorbell,2022-01-17,Variant,2022-01
10524,Smart Doorbell,2022-10-13,Control,2022-10
10525,Smart Doorbell,2022-12-10,Control,2022-12
10526,Smart Doorbell,2022-07-22,Variant,2022-07
10527,Security Camera,2022-04-09,Control,2022-04
10528,Security Camera,2022-10-06,Variant,2022-10
10529,Smart Doorbell,2022-07-28,Control,2022-07
